yahoo_symbol,fund_name,Years,CAGR_Yield,Trend_Slope,Trend_R_Squared,Consistency_CV,Max_Consecutive_Increases,Avg_YoY_Growth,Recent_Trend_Slope
0P00005UPT.BO,Nippon India Liquid Fund - Retail Option - Growth Plan,10,,0.0,,,0,,0.0
0P00005UPU.BO,NIPPON INDIA LIQUID FUND - RETAIL plan - MONTHLY IDCW OPTION,10,15.136213058133418,0.24739393939393944,0.13865926197466516,49.643021788773815,3,117.32478749441528,-2.56
0P00005UPW.BO,NIPPON INDIA LIQUID FUND - RETAIL Plan - QUARTERLY IDCW OPTION,10,,0.12836363636363637,0.03237688966306044,53.277292133206366,2,33.85607889881871,-3.205
0P00005UPZ.BO,Nippon India Money Market Fund-Growth Plan-Growth Option,10,,0.0,,,0,,0.0
0P00005UQ0.BO,NIPPON INDIA MONEY MARKET FUND - MONTHLY IDCW Option,10,7.694700220443407,0.1734545454545455,0.05084524189417852,48.946985025013625,3,129.16338199828317,-3.17
0P00005UQ2.BO,Nippon India Consumption Fund-Growth Plan-Bonus Option,10,,0.0,,,0,,0.0
0P00005UQ3.BO,NIPPON INDIA CONSUMPTION FUND - IDCW Option,10,,0.21266666666666667,0.025200567970770194,68.50413863030154,3,inf,-4.18
0P00005UQ4.BO,Nippon India Consumption Fund-Growth Plan-Growth Option,10,,0.0,,,0,,0.0
0P00005UQ5.BO,Nippon India Conservative Hybrid  Fund-Growth Plan,10,,0.0,,,0,,0.0
0P00005UQ6.BO,NIPPON INDIA CONSERVATIVE HYBRID  FUND - QUARTERLY IDCW Option,10,,0.2508484848484848,0.04936417946893349,85.36172870342423,3,inf,-2.83
0P00005UQ7.BO,NIPPON INDIA CONSERVATIVE HYBRID  FUND - MONTHLY IDCW Option,10,,0.17581818181818185,0.024724378284917043,72.51408790741503,1,inf,-2.285
0P00005UQ8.BO,Nippon India Corporate Bond Fund - Growth Plan - Bonus Option,10,,0.0,,,0,,0.0
0P00005UQ9.BO,Nippon India Corporate Bond Fund - Growth Plan - Growth Option,10,,0.0,,,0,,0.0
0P00005UQA.BO,NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option,10,-0.6713432632750815,0.15703030303030308,0.03473229072012785,51.220276247406304,3,81.51070144978809,-3.435
0P00005UQB.BO,NIPPON INDIA CORPORATE BOND FUND - QUARTERLY IDCW Option,10,,0.07496969696969696,0.007797223961838747,51.874326851229036,3,41.92725556816778,-3.31
0P00005UQC.BO,NIPPON INDIA DYNAMIC BOND FUND - IDCW Option,10,,0.0,,,0,,0.0
0P00005UQE.BO,Nippon India Pharma Fund-Growth Plan-Bonus Option,10,,0.0,,,0,,0.0
0P00005UQF.BO,NIPPON INDIA PHARMA FUND - IDCW Option,10,,-0.2383030303030302,0.013164146445719012,80.53028072915743,1,inf,-4.49
0P00005UQG.BO,Nippon India Pharma Fund-Growth Plan-Growth Option,10,,0.0,,,0,,0.0
0P00005UQI.BO,NIPPON INDIA SHORT DURATION FUND - MONTHLY IDCW Option,10,-7.6011031792321715,0.14375757575757572,0.027881955480918007,53.992150043839494,3,67.40462293838183,-3.63
0P00005UQJ.BO,Nippon India Short Duration  Fund-Growth Plan,10,,0.0,,,0,,0.0
0P00005UQK.BO,NIPPON INDIA ELSS TAX SAVER FUND - IDCW Option,10,,0.2984848484848484,0.07613345440422124,86.57411064000145,2,,-3.7899999999999996
0P00005UQL.BO,NIPPON INDIA SHORT DURATION FUND - QUARTERLY IDCW OPTION,10,,0.1975151515151516,0.04435664032112814,61.881296081291325,3,66.3362371676235,-3.29
0P00005UQM.BO,Nippon India ELSS Tax Saver Fund-Growth Plan-Growth Option,10,,0.0,,,0,,0.0
0P00005UQN.BO,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Bonus Option,10,,0.0,,,0,,0.0
0P00005UQO.BO,Nippon India Vision Large & Midcap Fund - IDCW Option,10,,-0.0023030303030302595,2.9574194354296657e-06,58.42252770002817,2,inf,-4.57
0P00005UQP.BO,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Growth Option,10,,0.0,,,0,,0.0
0P00005UQU.BO,SBI ESG Exclusionary Strategy Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.5994545454545456,0.2727272727272727,300.0,0,,0.0
0P00005UQV.BO,SBI GILT FUND - REGULAR PLAN - GROWTH,10,,0.0,,,0,,0.0
0P00005UQW.BO,SBI Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 1 Yr),10,,-0.2760606060606061,0.4433954028449037,168.90663169000126,1,,0.0
0P00005UQY.BO,SBI Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 2 Yrs),10,,-0.2739393939393939,0.4426148035396356,168.95476994069833,1,,0.0
0P00005UR0.BO,SBI Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 3 Yrs),10,,-0.2793333333333334,0.44484287103946984,168.7162410225954,1,,0.0
0P00005UR1.BO,SBI GILT FUND -  GROWTH - PF (Fixed Period - 3 Yrs) Option,10,,0.0,,,0,,0.0
0P00005UR3.BO,SBI GILT FUND -  GROWTH - PF (Regular) Option,10,,0.0,,,0,,0.0
0P00005UR4.BO,SBI Gilt Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.3016969696969697,0.3028436142210432,141.60674001019112,2,,0.0
0P00005UR5.BO,SBI CONSTANT MATURITY 10 Year GILT FUND - REGULAR PLAN - GROWTH,10,,0.0,,,0,,0.0
0P00005UR6.BO,SBI Constant Maturity 10 Year Gilt Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.21745454545454548,0.3039744038734202,191.36180113473046,2,,0.0
0P00005UR7.BO,SBI MNC Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,0.0,,,0,,0.0
0P00005UR8.BO,SBI MNC FUND - REGULAR PLAN -GROWTH,10,,0.0,,,0,,0.0
0P00005UR9.BO,SBI Credit Risk Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.23878787878787877,0.4211479218999523,169.91492814106098,2,,0.0
0P00005URA.BO,SBI CREDIT RISK FUND - REGULAR PLAN - GROWTH,10,,0.0,,,0,,0.0
0P00005URD.BO,SBI Savings Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.25121212121212116,0.2993851835096419,191.95334128421422,2,,0.0
0P00005URE.BO,SBI  SAVINGS FUND - REGULAR PLAN - GROWTH,10,,0.0,,,0,,0.0
0P00005URF.BO,SBI Savings Fund - Regular Plan Weekly Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.3790303030303031,0.2919484411165111,195.23969896432328,1,,0.0
0P00005URG.BO,SBI Medium to Long Duration Fund-REGULAR PLAN-Growth,10,,0.0,,,0,,0.0
0P00005URH.BO,SBI Medium to Long Duration Fund-REGULAR PLAN-Bonus,10,,0.0,,,0,,0.0
0P00005URI.BO,SBI Medium to Long Duration Fund - Regular Plan - Half Yearly - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.3931515151515152,0.539235556163802,166.24781066458286,1,,0.0
0P00005URJ.BO,SBI MEDIUM DURATION FUND - REGULAR PLAN - GROWTH,10,,0.0,,,0,,0.0
0P00005URK.BO,SBI Medium Duration Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.2847272727272728,0.3561751988162527,179.83293547003385,2,,0.0
0P00005URN.BO,SBI Nifty Index Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,0.0,,,0,,0.0
0P00005URO.BO,SBI NIFTY INDEX FUND - REGULAR PLAN - GROWTH,10,,0.0,,,0,,0.0
0P00005URP.BO,SBI ULTRA SHORT DURATION FUND - REGULAR PLAN - GROWTH,10,,0.0,,,0,,0.0
0P00005URQ.BO,SBI Ultra Short Duration Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),10,7.4815904538596545,0.07436363636363638,0.007341515090706832,95.4015289885616,1,,-1.475
0P00005URR.BO,SBI Overnight Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.31375757575757574,0.3098078104294007,191.15761507478953,1,,0.0
0P00005URS.BO,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,10,,0.0,,,0,,0.0
0P00005URU.BO,SBI Liquid Fund - Institutional - Growth,10,,0.0,,,0,,0.0
0P00005URX.BO,SBI Midcap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.2918181818181818,0.27272727272727293,299.99999999999994,0,,0.0
0P00005URY.BO,SBI MIDCAP FUND - REGULAR PLAN - GROWTH,10,,0.0,,,0,,0.0
0P00005URZ.BO,SBI Conservative Hybrid Fund - Regular Plan - Annual Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.38496969696969696,0.4848484848484849,200.0,0,,0.0
0P00005US0.BO,SBI Multi Asset Allocation Fund - Regular Plan - Annual Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.35575757575757583,0.4845137662379446,200.00092806175692,1,,0.0
0P00005US1.BO,SBI MULTI ASSET ALLOCATION FUND - REGULAR PLAN - GROWTH,10,,0.0,,,0,,0.0
0P00005US2.BO,SBI Multi Asset Allocation Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.23024242424242428,0.25889077747859907,201.50894028216467,2,,0.0
0P00005US3.BO,SBI Multi Asset Allocation Fund - Regular Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.2390303030303031,0.20982354634762676,214.73231302352858,2,,0.0
0P00005US4.BO,SBI Conservative Hybrid Fund - Regular Plan - Growth,10,,0.0,,,0,,0.0
0P00005US5.BO,SBI Conservative Hybrid Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),10,13.34236729851308,0.10084848484848488,0.016673729029935767,156.43388498609318,2,,0.355
0P00005US6.BO,SBI Conservative Hybrid Fund - Regular Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.3081818181818182,0.35014698611136347,180.88530292107882,2,,0.0
0P00005US7.BO,SBI Flexicap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,0.0,,,0,,0.0
0P00005US8.BO,SBI Flexicap Fund - REGULAR PLAN -Growth Option,10,,0.0,,,0,,0.0
0P00005USB.BO,SBI Dynamic Bond Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.29496969696969705,0.36324865102987075,178.6189939241236,2,,0.0
0P00005USC.BO,SBI Dynamic Bond Fund - REGULAR PLAN - Growth,10,,0.0,,,0,,0.0
0P00005USF.BO,SBI FOCUSED FUND - REGULAR PLAN -GROWTH,10,,0.0,,,0,,0.0
0P00005USG.BO,SBI Focused Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,0.0,,,0,,0.0
0P00005USH.BO,SBI Consumption Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.9065454545454547,0.2727272727272727,300.0,0,,0.0
0P00005USI.BO,SBI Technology Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.8803636363636366,0.2727272727272728,299.99999999999994,0,,0.0
0P00005USJ.BO,SBI HEALTHCARE OPPORTUNITIES FUND - REGULAR PLAN -GROWTH,10,,0.0,,,0,,0.0
0P00005USK.BO,SBI Healthcare Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.9327272727272727,0.2727272727272726,300.0,0,,0.0
0P00005USL.BO,SBI ELSS Tax Saver Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10,,-0.5916363636363636,0.12950913553464546,124.46129188865133,2,,0.0
0P00005USV.BO,Bandhan Income Plus Arbitrage Active FOF - Regular Plan - Annual IDCW,10,,0.08418181818181819,0.009991875610628476,75.99501897177315,2,inf,-3.6799999999999997
0P00005USW.BO,Bandhan Income Plus Arbitrage Active FOF - Regular Plan - Growth,10,,0.0,,,0,,0.0
0P00005USX.BO,Bandhan Income Plus Arbitrage Active FOF - Regular Plan - Half Yearly IDCW,10,,-0.0006666666666666579,4.2868399430753276e-07,75.35697180541628,3,inf,-3.47
0P00005USY.BO,Bandhan Income Plus Arbitrage Active FOF - Regular Plan - Quarterly IDCW,10,,-0.1316363636363636,0.018052608577877435,63.40822122554985,3,143.5080310094228,-3.3299999999999996
0P00005UT1.BO,BANDHAN Low Duration Fund - Regular Plan - Daily IDCW,10,0.0,-0.0005454545454545555,6.319592316078151e-07,52.48450033573276,2,85.86919353711762,-2.24
0P00005UT2.BO,BANDHAN Low Duration Fund - Regular Plan - Monthly IDCW,10,4.997684946447856,0.16709090909090907,0.04841850517731004,48.41493043504191,3,83.9316876451897,-3.1599999999999997
0P00005UT3.BO,BANDHAN Low Duration Fund - Regular Plan - Weekly IDCW,10,4.955752919048129,0.08175757575757575,0.01213988423754841,55.0016857181835,3,100.49034200311736,-3.2449999999999997
0P00005UT5.BO,BANDHAN Low Duration Fund - Regular Plan - Growth,10,,0.0,,,0,,0.0
0P00005UTA.BO,Sundaram Corporate Bond Fund Regular Plan- Growth,10,,0.0,,,0,,0.0
0P00005UTD.BO,Sundaram Corporate Bond Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW ),10,,0.21339393939393944,0.06999786852017728,103.74756781860819,2,69.14359670011498,-0.8049999999999999
0P00005UU5.BO,Sundaram Consumption Fund (Formerly Known as Sundaram Rural and Consumption Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),10,,0.04387878787878782,0.0012917612231367252,58.87565956605359,2,inf,-4.57
0P00005UU6.BO,Sundaram Consumption Fund(Formerly Known as Sundaram Rural and Consumption Fund Regular Plan - Growth),10,,0.0,,,0,,0.0
0P00005UUI.BO,Sundaram Mid Cap Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),10,,-0.15284848484848487,0.020558666530343342,51.30525219383547,2,inf,-4.465
0P00005UUJ.BO,Sundaram Mid Cap Fund Regular Plan - Growth,10,,0.0,,,0,,0.0
0P00005UUK.BO,Sundaram Small Cap Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),10,,-0.109939393939394,0.005554729080546828,64.8638459675916,2,inf,-4.43
0P00005UUL.BO,Sundaram Small Cap Fund Regular Plan - Growth,10,,0.0,,,0,,0.0
0P00005UUM.BO,Sundaram Value Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),10,,-0.5230303030303031,0.1372124767708289,60.42338844002001,2,31.98151689920339,-1.585
0P00005UUN.BO,Sundaram Value Fund Regular Plan - Growth,10,,0.0,,,0,,0.0
0P00005UVO.BO,Tata Liquid Fund -Regular Plan - Growth Option,10,,0.0,,,0,,0.0
0P00005UW7.BO,Tata Gilt Securities Fund - Regular Plan - Payout of IDCW Option,10,,-0.15054545454545454,0.2583075287701622,201.61072823467015,2,,0.0
0P00005UW8.BO,Tata Gilt Securities Fund -Regular Plan- Growth Option,10,,0.0,,,0,,0.0
0P00005UWK.BO,Tata Money Market Fund-Regular Plan - Growth Option,10,,0.0,,,0,,0.0
0P00005UWW.BO,Tata Large Cap Fund- Regular Plan - Payout of IDCW Option,10,,0.47018181818181815,0.2727272727272727,299.99999999999994,1,,4.31
0P00005UWX.BO,Tata Large Cap Fund -Regular Plan - Growth Option,10,,0.0,,,0,,0.0
0P00005UX0.BO,Tata Short Term Bond Fund- Regular Plan - Monthly Payout of IDCW Option,10,,-0.1027878787878788,0.2698278867126922,197.34811123031514,2,,0.0
0P00005UX1.BO,Tata Short Term Bond Fund -Regular Plan- Growth Option,10,,0.0,,,0,,0.0
0P00005UX3.BO,Tata ELSS Fund- Regular Plan - Payout of IDCW Option,10,,-0.9679393939393941,0.32006227888090877,68.97203255115964,2,inf,-1.9799999999999998
